Epoch: 080, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013950045038967556, 'average_difference': 0.02663008190205254, 'median_difference': 0.014163528569042683, 'total_predictions': 13755, 'hits': 186}
Epoch: 081, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013861418024990246, 'average_difference': 0.02654732799718725, 'median_difference': 0.014077458065003157, 'total_predictions': 13755, 'hits': 184}
Epoch: 082, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013956114537393035, 'average_difference': 0.02663613606719561, 'median_difference': 0.01414875581394881, 'total_predictions': 13755, 'hits': 186}
Epoch: 083, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.01405443273190786, 'average_difference': 0.026725036393794782, 'median_difference': 0.014288900536485016, 'total_predictions': 13755, 'hits': 187}
Epoch: 084, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013976777846887821, 'average_difference': 0.026645920236530927, 'median_difference': 0.014299239148385823, 'total_predictions': 13755, 'hits': 186}
Epoch: 085, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013835976837954294, 'average_difference': 0.026517240381952932, 'median_difference': 0.014221327495761216, 'total_predictions': 13755, 'hits': 184}
Epoch: 086, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013857619712134896, 'average_difference': 0.02653752158058348, 'median_difference': 0.014295630797278136, 'total_predictions': 13755, 'hits': 184}
Epoch: 087, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013980683877651147, 'average_difference': 0.026652929488987193, 'median_difference': 0.014438056095968932, 'total_predictions': 13755, 'hits': 186}
Epoch: 088, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.01399718983261747, 'average_difference': 0.02666531471261272, 'median_difference': 0.014411613141419366, 'total_predictions': 13755, 'hits': 186}
Epoch: 089, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013895227118260581, 'average_difference': 0.026573226966900176, 'median_difference': 0.01424257134203799, 'total_predictions': 13755, 'hits': 185}
Epoch: 090, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013870853131537606, 'average_difference': 0.026557037164722155, 'median_difference': 0.014162011342705227, 'total_predictions': 13755, 'hits': 184}
Epoch: 091, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.01397213852090906, 'average_difference': 0.026651965190314833, 'median_difference': 0.014245118596591055, 'total_predictions': 13755, 'hits': 186}
Epoch: 092, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014025774975021594, 'average_difference': 0.026702188895286687, 'median_difference': 0.014298857953690458, 'total_predictions': 13755, 'hits': 187}
Epoch: 093, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.01395793322427038, 'average_difference': 0.026638513466959363, 'median_difference': 0.014243255951441824, 'total_predictions': 13755, 'hits': 186}
Epoch: 094, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013883864933792543, 'average_difference': 0.026568931749469653, 'median_difference': 0.014211861533112824, 'total_predictions': 13755, 'hits': 185}
Epoch: 095, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013917801330551805, 'average_difference': 0.026593936224169737, 'median_difference': 0.014305643388070166, 'total_predictions': 13755, 'hits': 185}
Epoch: 096, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013969482600983948, 'average_difference': 0.026642031255642906, 'median_difference': 0.01441906823311001, 'total_predictions': 13755, 'hits': 186}
Epoch: 097, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013941149486845031, 'average_difference': 0.02661523954675302, 'median_difference': 0.01441802064073272, 'total_predictions': 13755, 'hits': 185}
Epoch: 098, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013881158083313439, 'average_difference': 0.02655885034073131, 'median_difference': 0.014353917154949158, 'total_predictions': 13755, 'hits': 185}
Epoch: 099, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013896555395018004, 'average_difference': 0.02657324184250163, 'median_difference': 0.014345293340738863, 'total_predictions': 13755, 'hits': 185}
Epoch: 100, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013964248891717435, 'average_difference': 0.026636754264428023, 'median_difference': 0.014389317977475002, 'total_predictions': 13755, 'hits': 186}
